label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
giga5_union::vwap_003__shared_default,maker_optimistic,24,0.07680370409287877,0.4583333333333333,0.0032001543372032824,-0.06284609010961664,0.013708801378508861,7.125,9,0.10434777883621948,0.5555555555555556,0.011594197648468831,giga5_union,vwap_003,shared_default
coq3_momaccel::base__hold8_t30_s10,maker_optimistic,8,0.07517600000000048,0.5,0.00939700000000006,-0.02108170359099985,0.033556846700434205,2.625,5,0.026991000000000317,0.4,0.005398200000000063,coq3_momaccel,base,hold8_t30_s10
giga5_union::trend_t008__vwap_003__score_43__hold8_t35_s12,maker_optimistic,5,0.07433152464423173,0.8,0.014866304928846347,0.0,0.025463186714085408,5.2,4,0.08692792464423166,1.0,0.021731981161057914,giga5_union,trend_t008,vwap_003__score_43__hold8_t35_s12
giga5_union::close_075__hold8_t30_s10,maker_optimistic,30,0.06969771579170328,0.43333333333333335,0.002323257193056776,-0.03515004431609284,0.010699728501625098,4.633333333333334,9,0.053685793656213385,0.5555555555555556,0.00596508818402371,giga5_union,close_075,hold8_t30_s10
coq3_momaccel::trend_t008__hold8_t30_s10,maker_optimistic,5,0.06697900000000023,0.6,0.013395800000000046,-0.010596999999999898,0.04474253011598314,2.2,2,0.01879400000000007,0.5,0.009397000000000036,coq3_momaccel,trend_t008,hold8_t30_s10
coq3_momaccel::trend_t009__hold8_t30_s10,maker_optimistic,5,0.06697900000000023,0.6,0.013395800000000046,-0.010596999999999898,0.04474253011598314,2.2,2,0.01879400000000007,0.5,0.009397000000000036,coq3_momaccel,trend_t009,hold8_t30_s10
giga5_union::trend_t008__vwap_003__score_43__hold12_t35_s12,maker_optimistic,5,0.06657799282192657,0.8,0.013315598564385314,0.0,0.028249622737135306,6.8,4,0.07917439282192648,1.0,0.01979359820548162,giga5_union,trend_t008,vwap_003__score_43__hold12_t35_s12
giga5_union::vwap_003__hold12_t35_s12,maker_optimistic,24,0.06649546631770524,0.4583333333333333,0.002770644429904385,-0.056469268033811554,0.013708801378508861,6.75,9,0.0873528788362197,0.5555555555555556,0.009705875426246633,giga5_union,vwap_003,hold12_t35_s12
giga5_union::trend_t008__vwap_003__score_43__hold8_t30_s10,maker_optimistic,5,0.06633392464423175,0.8,0.01326678492884635,0.0,0.020201607293174828,5.0,4,0.07693092464423183,1.0,0.019232731161057958,giga5_union,trend_t008,vwap_003__score_43__hold8_t30_s10
giga5_union::trend_t008__vwap_0025__hold12_t35_s12,maker_optimistic,7,0.06629942921968625,0.7142857142857143,0.00947134703138375,-0.012596399999999912,0.02420944959410335,7.714285714285714,3,0.0706412255838218,1.0,0.023547075194607265,giga5_union,trend_t008,vwap_0025__hold12_t35_s12
