construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,strategy
persistence_breakout_15,SOLUSD,3759,1773205200,86.98883199999999,3761,1773207000,85.67853662135037,STOP_LOSS,-0.018162800000000152,0.0,2,55.80039486254362,0.0019137105879528855,0.004261690854641676,0.003788155243847039,1.0584192439862483,persistence_breakout_15
persistence_breakout_15,SUIUSD,3780,1773225900,0.9594651499999999,3780,1773225900,0.95064384,TREND_LOST,-0.012293986879043872,0.0,0,48.531547404293484,0.0004104021043210196,0.004073107049608371,0.00027457432691380693,1.1826086956521757,persistence_breakout_15
persistence_breakout_15,XDGUSD,3788,1773232200,0.09311446276999999,3794,1773237600,0.09261988551,TREND_LOST,-0.008411497755419954,0.018060966899997376,6,55.416049226031305,0.0007570183558562794,0.005956732140838472,-0.0038229022279254003,1.4497450711844075,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3785,1773240300,36.853894,3788,1773243000,36.2987711654568,STOP_LOSS,-0.018162799999999948,0.003964465735968177,3,59.485210446211646,0.017097209280227864,0.010834236186348824,0.0345840510807875,1.3220338983050823,persistence_breakout_15
persistence_breakout_15,SOLUSD,3812,1773252900,88.09224199999998,3816,1773256500,86.949618,TREND_LOST,-0.016070767618787406,0.0,4,62.92863560137233,0.007292332930408326,0.003983610289096225,0.018477969366581703,1.0503432494279108,persistence_breakout_15
persistence_breakout_15,TAOUSD,3826,1773266400,206.13705,3827,1773267300,203.03204884326,STOP_LOSS,-0.01816280000000001,0.002413685458291065,1,77.06001052657814,0.0081717458055095,0.006137109228690828,0.03322168393414583,1.1235397710595803,persistence_breakout_15
persistence_breakout_15,TAOUSD,3860,1773297000,205.70501482999998,3860,1773297000,205.02853509,TREND_LOST,-0.006388591386841256,0.0015030512029836757,0,55.258987207381665,0.005262523080303902,0.003729322693694928,0.01885208170641583,0.953145346785279,persistence_breakout_15
persistence_breakout_15,SUIUSD,3864,1773301500,0.9800286999999999,3869,1773306000,0.9711799799999999,TREND_LOST,-0.012129041700513385,0.006501136140196906,5,55.9712728696819,0.0017387978431652239,0.002654144548795474,0.0079909581014584,1.0602409638554298,persistence_breakout_15
persistence_breakout_15,TAOUSD,3876,1773311400,211.65058914999997,3882,1773316800,211.332831,TIME_LIMIT,-0.004601333642755771,0.011100421971114683,6,85.70416535145074,0.010291103010140667,0.014588934138753713,0.040373449273990974,1.5335687826710565,persistence_breakout_15
persistence_breakout_15,XDGUSD,3884,1773318600,0.09595253359999999,3885,1773319500,0.09450721977688992,STOP_LOSS,-0.018162799999999896,0.0,1,91.75202218519529,0.00908238790591448,0.005034950443401145,0.022435008571304794,1.3316953316953337,persistence_breakout_15
persistence_breakout_15,TAOUSD,3901,1773333900,217.35592101999998,3903,1773335700,214.08193225285993,STOP_LOSS,-0.018162799999999993,0.0,2,68.66743527259628,0.008361189539109288,0.008581442538277124,0.03512489543934825,1.0432812402644123,persistence_breakout_15
persistence_breakout_15,XDGUSD,3922,1773352800,0.09497832288,3925,1773355500,0.09410736,TREND_LOST,-0.012270122756330487,0.0,3,60.987360174789984,0.0011707236028316585,0.0010258705123441325,0.01044133180343884,0.6480982205815182,persistence_breakout_15
persistence_breakout_15,SUIUSD,3926,1773357300,0.9901600099999999,3932,1773362700,1.00308078,TIME_LIMIT,0.009949173739101045,0.03266137762925823,6,77.02580514404085,0.003226945192799878,0.003740774441411309,0.013644309876253882,1.0472279260780237,persistence_breakout_15
