pair,interval,strategy,trades_full,net_full,win_full,dd_full,avg_mfe_full,trades_recent,net_recent,win_recent,score,verdict,cost_model,side_cost_pct
DOGUSD,1,red_streak_reversal,17,-0.07709158822736795,0.23529411764705882,-0.06834182250022727,0.005255355790225983,7,-0.041255445156708426,0.14285714285714285,-0.16080794069209847,KILL,taker_like,0.0031
GIGAUSD,1,bb_lower_bounce,12,-0.07612117259006779,0.25,-0.06541873155638406,0.003158019796695407,6,-0.04182114339981191,0.3333333333333333,-0.1693477443903469,KILL,taker_like,0.0031
DOGUSD,5,red_streak_reversal,17,-0.09897949590926103,0.29411764705882354,-0.08799527083614718,0.005479060904358444,7,-0.02877375003556104,0.2857142857142857,-0.16992645086449507,KILL,taker_like,0.0031
GIGAUSD,5,quiet_then_burst,38,-0.12924572055382866,0.23684210526315788,-0.12040502070242445,0.0096981717694252,17,-0.01941756981468401,0.23529411764705882,-0.1737963120925784,KILL,taker_like,0.0031
HYPEUSD,5,atr_squeeze_expand,12,-0.07335468605375028,0.25,-0.07604226555555697,0.0058025991837238515,6,-0.047077525563580136,0.16666666666666666,-0.1768656901396962,KILL,taker_like,0.0031
HYPEUSD,5,momentum_breakout,9,-0.07696117883071496,0.2222222222222222,-0.08487850699947641,0.004786064712071362,4,-0.0547957141591604,0.0,-0.18518521253109094,KILL,taker_like,0.0031
GIGAUSD,5,red_streak_reversal,12,-0.09904350258700034,0.16666666666666666,-0.08319291916915086,0.003927164329919057,4,-0.03500765684038987,0.0,-0.18533648385420737,KILL,taker_like,0.0031
DOGUSD,5,bb_squeeze_breakout,20,-0.09904962466424361,0.2,-0.08786566168040028,0.00883544912577613,6,-0.04820345543963667,0.16666666666666666,-0.1871076214748914,KILL,taker_like,0.0031
COQUSD,5,momentum_breakout,20,-0.1434005449170056,0.35,-0.13708102306484374,0.013865679464229674,5,-0.01412606950511841,0.6,-0.18747241289779523,KILL,taker_like,0.0031
DOGUSD,3,volume_climax_reversal,20,-0.09605274871668057,0.3,-0.0996031351687415,0.004433758511388652,11,-0.04855491983024629,0.2727272727272727,-0.19198770070401705,KILL,taker_like,0.0031
GIGAUSD,5,triple_confluence,30,-0.12113779299432204,0.36666666666666664,-0.1594891747368442,0.008478929951590164,13,-0.04035100326540286,0.38461538461538464,-0.19961374364399703,KILL,taker_like,0.0031
