cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,HYPEUSD,1,red_streak_reversal,177,-1.102870440476656,111,-0.7089314243898887,-2.395265342719369,False
taker_like,HYPEUSD,1,bb_squeeze_breakout,85,-0.5345897921009208,32,-0.21681699219680772,-0.9694808499927552,False
taker_like,HYPEUSD,1,atr_squeeze_expand,5,-0.01644847875915112,1,-0.008072627140129573,-0.033331121601924245,False
taker_like,HYPEUSD,1,quiet_then_burst,18,-0.04235202232905355,5,-0.005798814963597243,-0.05991457405576692,False
taker_like,HYPEUSD,1,higher_low_structure,506,-3.013739231503153,213,-1.2320962222922112,-5.090953768638259,False
taker_like,HYPEUSD,1,vwap_reclaim_trend,32,-0.1931922427673758,18,-0.11105036705770566,-0.4571309366349209,False
taker_like,HYPEUSD,1,momentum_accel,176,-0.9221600740919175,53,-0.292883891271598,-1.4468757543790924,False
taker_like,HYPEUSD,1,volume_spike_trend,81,-0.416702208209523,27,-0.1526672966392546,-0.6993053879920763,False
taker_like,HYPEUSD,1,volume_climax_reversal,78,-0.5212245949893353,37,-0.27176753269928566,-1.0594434720325496,False
taker_like,HYPEUSD,1,triple_confluence,54,-0.3511710526462247,20,-0.10462436106100081,-0.5847070374192511,False
taker_like,HYPEUSD,1,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,1,breakout_asymmetric,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,1,breakout_scalp,189,-1.0691716893424734,57,-0.33711137859884377,-1.7131515718696924,False
taker_like,HYPEUSD,3,momentum_breakout,7,0.030592696839685685,2,-0.013143010445385794,0.017313769219054677,False
taker_like,HYPEUSD,3,momentum_breakout_trail,39,-0.38633419724542206,12,-0.1453048229965337,-0.6640463868748147,False
taker_like,HYPEUSD,3,macd_trend_long,1,-0.015062800000000043,0,0.0,-0.015062800000000043,False
taker_like,HYPEUSD,3,rsi_momentum_thrust,202,-1.312084078535392,89,-0.5586296686734328,-2.278752154768961,False
